Course Name,Department Course ID,Description,Section Name,Section Type,Registration Number,Instructors,Campus,Location
Discrete Mathematics,120,"A first course in discrete mathematics. Sets, algorithms, and induction. Combinatorics. Graphs and trees. Combinatorial circuits. Logic and Boolean algebra.",,Lecture,8986,"Antonelli, Gioacchino",Washington Square,194M 203
Discrete Mathematics,120,"A first course in discrete mathematics. Sets, algorithms, and induction. Combinatorics. Graphs and trees. Combinatorial circuits. Logic and Boolean algebra.",,Lecture,9360,"McSwiggen, Colin",Washington Square,194M 203
Discrete Mathematics,120,"A first course in discrete mathematics. Sets, algorithms, and induction. Combinatorics. Graphs and trees. Combinatorial circuits. Logic and Boolean algebra.",,Lecture,10409,"Morrison, Megan",Washington Square,CIWW 201
Calculus I,121,"Any one of the following: a score of 670 or higher on the mathematics portion of the SAT, a score of 650 or higher on the SAT Subject Test in Mathematics 1, a score of 650 or higher on the SAT Subject Test in Mathematics 2, an ACT mathematics score of 30 or higher, a score of 3 or higher on the AP Calculus AB exam, an AB subscore of 3 or higher on the AP Calculus BC exam, a score of 3 or higher on the AP Calculus BC exam, a grade of C or higher in Algebra and Calculus (MATH-UA 9), or a passing score on a departmental placement exam. Derivatives, antiderivatives, and integrals of functions of one variable. Applications include graphing, maximizing, and minimizing functions. Definite integrals and the fundamental theorem of calculus. Areas and volumes. ",,Lecture,8069,"Liu, Shizhu",Washington Square,ONLI
Calculus I,121,"Any one of the following: a score of 670 or higher on the mathematics portion of the SAT, a score of 650 or higher on the SAT Subject Test in Mathematics 1, a score of 650 or higher on the SAT Subject Test in Mathematics 2, an ACT mathematics score of 30 or higher, a score of 3 or higher on the AP Calculus AB exam, an AB subscore of 3 or higher on the AP Calculus BC exam, a score of 3 or higher on the AP Calculus BC exam, a grade of C or higher in Algebra and Calculus (MATH-UA 9), or a passing score on a departmental placement exam. Derivatives, antiderivatives, and integrals of functions of one variable. Applications include graphing, maximizing, and minimizing functions. Definite integrals and the fundamental theorem of calculus. Areas and volumes. ",,Lecture,8074,"Sia, Charmaine",Washington Square,5WP 101
Calculus I,121,"Any one of the following: a score of 670 or higher on the mathematics portion of the SAT, a score of 650 or higher on the SAT Subject Test in Mathematics 1, a score of 650 or higher on the SAT Subject Test in Mathematics 2, an ACT mathematics score of 30 or higher, a score of 3 or higher on the AP Calculus AB exam, an AB subscore of 3 or higher on the AP Calculus BC exam, a score of 3 or higher on the AP Calculus BC exam, a grade of C or higher in Algebra and Calculus (MATH-UA 9), or a passing score on a departmental placement exam. Derivatives, antiderivatives, and integrals of functions of one variable. Applications include graphing, maximizing, and minimizing functions. Definite integrals and the fundamental theorem of calculus. Areas and volumes. ",,Lecture,8079,"Espinosa, Silvia",Washington Square,CIWW 109
Calculus I,121,"Any one of the following: a score of 670 or higher on the mathematics portion of the SAT, a score of 650 or higher on the SAT Subject Test in Mathematics 1, a score of 650 or higher on the SAT Subject Test in Mathematics 2, an ACT mathematics score of 30 or higher, a score of 3 or higher on the AP Calculus AB exam, an AB subscore of 3 or higher on the AP Calculus BC exam, a score of 3 or higher on the AP Calculus BC exam, a grade of C or higher in Algebra and Calculus (MATH-UA 9), or a passing score on a departmental placement exam. Derivatives, antiderivatives, and integrals of functions of one variable. Applications include graphing, maximizing, and minimizing functions. Definite integrals and the fundamental theorem of calculus. Areas and volumes. ",,Lecture,8084,"Espinosa, Silvia",Washington Square,CIWW 109
Calculus I,121,"Any one of the following: a score of 670 or higher on the mathematics portion of the SAT, a score of 650 or higher on the SAT Subject Test in Mathematics 1, a score of 650 or higher on the SAT Subject Test in Mathematics 2, an ACT mathematics score of 30 or higher, a score of 3 or higher on the AP Calculus AB exam, an AB subscore of 3 or higher on the AP Calculus BC exam, a score of 3 or higher on the AP Calculus BC exam, a grade of C or higher in Algebra and Calculus (MATH-UA 9), or a passing score on a departmental placement exam. Derivatives, antiderivatives, and integrals of functions of one variable. Applications include graphing, maximizing, and minimizing functions. Definite integrals and the fundamental theorem of calculus. Areas and volumes. ",,Lecture,8089,"Shum, Fanny",Washington Square,CIWW 109
Calculus I,121,"Any one of the following: a score of 670 or higher on the mathematics portion of the SAT, a score of 650 or higher on the SAT Subject Test in Mathematics 1, a score of 650 or higher on the SAT Subject Test in Mathematics 2, an ACT mathematics score of 30 or higher, a score of 3 or higher on the AP Calculus AB exam, an AB subscore of 3 or higher on the AP Calculus BC exam, a score of 3 or higher on the AP Calculus BC exam, a grade of C or higher in Algebra and Calculus (MATH-UA 9), or a passing score on a departmental placement exam. Derivatives, antiderivatives, and integrals of functions of one variable. Applications include graphing, maximizing, and minimizing functions. Definite integrals and the fundamental theorem of calculus. Areas and volumes. ",,Lecture,8092,"Feklistova, Mariya",Washington Square,SILV 207
Calculus I,121,"Any one of the following: a score of 670 or higher on the mathematics portion of the SAT, a score of 650 or higher on the SAT Subject Test in Mathematics 1, a score of 650 or higher on the SAT Subject Test in Mathematics 2, an ACT mathematics score of 30 or higher, a score of 3 or higher on the AP Calculus AB exam, an AB subscore of 3 or higher on the AP Calculus BC exam, a score of 3 or higher on the AP Calculus BC exam, a grade of C or higher in Algebra and Calculus (MATH-UA 9), or a passing score on a departmental placement exam. Derivatives, antiderivatives, and integrals of functions of one variable. Applications include graphing, maximizing, and minimizing functions. Definite integrals and the fundamental theorem of calculus. Areas and volumes. ",,Lecture,8094,"Foster, Joseph",Washington Square,5WP 101
Calculus I,121,"Any one of the following: a score of 670 or higher on the mathematics portion of the SAT, a score of 650 or higher on the SAT Subject Test in Mathematics 1, a score of 650 or higher on the SAT Subject Test in Mathematics 2, an ACT mathematics score of 30 or higher, a score of 3 or higher on the AP Calculus AB exam, an AB subscore of 3 or higher on the AP Calculus BC exam, a score of 3 or higher on the AP Calculus BC exam, a grade of C or higher in Algebra and Calculus (MATH-UA 9), or a passing score on a departmental placement exam. Derivatives, antiderivatives, and integrals of functions of one variable. Applications include graphing, maximizing, and minimizing functions. Definite integrals and the fundamental theorem of calculus. Areas and volumes. ",,Lecture,8096,"Flek, Ruslan",Washington Square,5WP 101
Calculus I,121,"Any one of the following: a score of 670 or higher on the mathematics portion of the SAT, a score of 650 or higher on the SAT Subject Test in Mathematics 1, a score of 650 or higher on the SAT Subject Test in Mathematics 2, an ACT mathematics score of 30 or higher, a score of 3 or higher on the AP Calculus AB exam, an AB subscore of 3 or higher on the AP Calculus BC exam, a score of 3 or higher on the AP Calculus BC exam, a grade of C or higher in Algebra and Calculus (MATH-UA 9), or a passing score on a departmental placement exam. Derivatives, antiderivatives, and integrals of functions of one variable. Applications include graphing, maximizing, and minimizing functions. Definite integrals and the fundamental theorem of calculus. Areas and volumes. ",,Lecture,8100,"Sanfratello, Andrew",Washington Square,5WP 101
Calculus I,121,"Any one of the following: a score of 670 or higher on the mathematics portion of the SAT, a score of 650 or higher on the SAT Subject Test in Mathematics 1, a score of 650 or higher on the SAT Subject Test in Mathematics 2, an ACT mathematics score of 30 or higher, a score of 3 or higher on the AP Calculus AB exam, an AB subscore of 3 or higher on the AP Calculus BC exam, a score of 3 or higher on the AP Calculus BC exam, a grade of C or higher in Algebra and Calculus (MATH-UA 9), or a passing score on a departmental placement exam. Derivatives, antiderivatives, and integrals of functions of one variable. Applications include graphing, maximizing, and minimizing functions. Definite integrals and the fundamental theorem of calculus. Areas and volumes. ",,Lecture,8381,"Stepp, Elizabeth",Washington Square,ONLI
Calculus II,122,"Techniques of integration. Further applications. Plane analytic geometry. Polar coordinates and parametric equations. Infinite series, including power series.",,Lecture,8105,"Kalaycioglu, Selin",Washington Square,ONLI
Calculus II,122,"Techniques of integration. Further applications. Plane analytic geometry. Polar coordinates and parametric equations. Infinite series, including power series.",,Lecture,8106,"Kalaycioglu, Selin",Washington Square,194M 204
Calculus II,122,"Techniques of integration. Further applications. Plane analytic geometry. Polar coordinates and parametric equations. Infinite series, including power series.",,Lecture,8107,"Foster, Joseph",Washington Square,194M 203
Calculus II,122,"Techniques of integration. Further applications. Plane analytic geometry. Polar coordinates and parametric equations. Infinite series, including power series.",,Lecture,8108,"Foster, Joseph",Washington Square,194M 206
Calculus II,122,"Techniques of integration. Further applications. Plane analytic geometry. Polar coordinates and parametric equations. Infinite series, including power series.",,Lecture,8109,"Burkhardt-Guim, Paula",Washington Square,194M 204
Calculus II,122,"Techniques of integration. Further applications. Plane analytic geometry. Polar coordinates and parametric equations. Infinite series, including power series.",,Lecture,8110,"Oveys, Hesam",Washington Square,194M 204
Calculus II,122,"Techniques of integration. Further applications. Plane analytic geometry. Polar coordinates and parametric equations. Infinite series, including power series.",,Lecture,8111,"Oveys, Hesam",Washington Square,194M 204
Calculus II,122,"Techniques of integration. Further applications. Plane analytic geometry. Polar coordinates and parametric equations. Infinite series, including power series.",,Lecture,8112,"Normand, Raoul Justin",Washington Square,194M 204
Calculus III,123,"Prerequisite: MATH-UA.0122 with a grade of C or better, departmental placement exam, or permission of the department. Functions of several variables. Vectors in the plane and space. Partial derivatives with applications. Double and triple integrals. Spherical and cylindrical coordinates. Surface and line integrals. Divergence, gradient, and curl. Theorem of Gauss and Stokes.",,Lecture,8113,"Liu, Shizhu",Washington Square,194M 204
Calculus III,123,"Prerequisite: MATH-UA.0122 with a grade of C or better, departmental placement exam, or permission of the department. Functions of several variables. Vectors in the plane and space. Partial derivatives with applications. Double and triple integrals. Spherical and cylindrical coordinates. Surface and line integrals. Divergence, gradient, and curl. Theorem of Gauss and Stokes.",,Lecture,8114,"Sia, Charmaine",Washington Square,194M 206
Calculus III,123,"Prerequisite: MATH-UA.0122 with a grade of C or better, departmental placement exam, or permission of the department. Functions of several variables. Vectors in the plane and space. Partial derivatives with applications. Double and triple integrals. Spherical and cylindrical coordinates. Surface and line integrals. Divergence, gradient, and curl. Theorem of Gauss and Stokes.",,Lecture,8115,"Leingang, Matthew",Washington Square,194M 204
Calculus III,123,"Prerequisite: MATH-UA.0122 with a grade of C or better, departmental placement exam, or permission of the department. Functions of several variables. Vectors in the plane and space. Partial derivatives with applications. Double and triple integrals. Spherical and cylindrical coordinates. Surface and line integrals. Divergence, gradient, and curl. Theorem of Gauss and Stokes.",,Lecture,8116,"Sia, Charmaine",Washington Square,194M 204
Calculus III,123,"Prerequisite: MATH-UA.0122 with a grade of C or better, departmental placement exam, or permission of the department. Functions of several variables. Vectors in the plane and space. Partial derivatives with applications. Double and triple integrals. Spherical and cylindrical coordinates. Surface and line integrals. Divergence, gradient, and curl. Theorem of Gauss and Stokes.",,Lecture,9212,"Damarackas, Julius",Washington Square,194M 206
Calculus III,123,"Prerequisite: MATH-UA.0122 with a grade of C or better, departmental placement exam, or permission of the department. Functions of several variables. Vectors in the plane and space. Partial derivatives with applications. Double and triple integrals. Spherical and cylindrical coordinates. Surface and line integrals. Divergence, gradient, and curl. Theorem of Gauss and Stokes.",,Lecture,8574,"Damarackas, Julius",Washington Square,194M 206
Calculus III,123,"Prerequisite: MATH-UA.0122 with a grade of C or better, departmental placement exam, or permission of the department. Functions of several variables. Vectors in the plane and space. Partial derivatives with applications. Double and triple integrals. Spherical and cylindrical coordinates. Surface and line integrals. Divergence, gradient, and curl. Theorem of Gauss and Stokes.",,Lecture,8708,"Stein, Daniel",Washington Square,194M 206
Honors Calculus III,129,"The scope of this honors class will include the usual MATH-UA 123 syllabus; however this class will move faster, covering additional topics and going deeper. Functions of several variables. Vectors in the plane and space. Partial derivatives with applications, especially Lagrange multipliers. Double and triple integrals. Spherical and cylindrical coordinates. Surface and line integrals. Divergence, gradient, and curl. Theorem of Gauss and Stokes.",,Lecture,9137,"Boury, Samuel",Washington Square,194M 203
Mathematics for Economics I,131,Formerly numbered MATH-UA 211; the content has not changed. Will only count toward the major in mathematics for: economics majors with a double or joint major in math. Elements of calculus and linear algebra are important to the study of economics. This class is designed to provide the appropriate tools for study in the policy concentration. Examples and motivation are drawn from important topics in economics. Topics covered include derivatives of functions of one and several variables; interpretations of the derivatives; convexity; constrained and unconstrained optimization.,,Lecture,8446,"King, Darren",Washington Square,ONLI
Mathematics for Economics I,131,Formerly numbered MATH-UA 211; the content has not changed. Will only count toward the major in mathematics for: economics majors with a double or joint major in math. Elements of calculus and linear algebra are important to the study of economics. This class is designed to provide the appropriate tools for study in the policy concentration. Examples and motivation are drawn from important topics in economics. Topics covered include derivatives of functions of one and several variables; interpretations of the derivatives; convexity; constrained and unconstrained optimization.,,Lecture,8569,"Chikhany, Ralph",Washington Square,19W4 101
Mathematics for Economics I,131,Formerly numbered MATH-UA 211; the content has not changed. Will only count toward the major in mathematics for: economics majors with a double or joint major in math. Elements of calculus and linear algebra are important to the study of economics. This class is designed to provide the appropriate tools for study in the policy concentration. Examples and motivation are drawn from important topics in economics. Topics covered include derivatives of functions of one and several variables; interpretations of the derivatives; convexity; constrained and unconstrained optimization.,,Lecture,8650,"Normand, Raoul Justin",Washington Square,MEYR 121
Mathematics for Economics I,131,Formerly numbered MATH-UA 211; the content has not changed. Will only count toward the major in mathematics for: economics majors with a double or joint major in math. Elements of calculus and linear algebra are important to the study of economics. This class is designed to provide the appropriate tools for study in the policy concentration. Examples and motivation are drawn from important topics in economics. Topics covered include derivatives of functions of one and several variables; interpretations of the derivatives; convexity; constrained and unconstrained optimization.,,Lecture,8666,"Normand, Raoul Justin",Washington Square,5WP 101
Mathematics for Economics II,132,"Formerly numbered MATH-UA 212; the content has not changed. Not open to students who already have credit for Calculus (from an NYU or transfer course, or from AP or another accepted exam), unless they have declared or will declare a major in economics. A continuation of Mathematics for Economics I. Matrix algebra; eigenvalues; Ordinary differential equations and stability analysis, multivariable integration and (possibly) dynamic optimization.",,Lecture,8501,"Chikhany, Ralph",Washington Square,CIWW 109
Mathematics for Economics II,132,"Formerly numbered MATH-UA 212; the content has not changed. Not open to students who already have credit for Calculus (from an NYU or transfer course, or from AP or another accepted exam), unless they have declared or will declare a major in economics. A continuation of Mathematics for Economics I. Matrix algebra; eigenvalues; Ordinary differential equations and stability analysis, multivariable integration and (possibly) dynamic optimization.",,Lecture,8567,"Damarackas, Julius",Washington Square,SILV 207
Mathematics for Economics III,133,"Formerly numbered MATH-UA 213; the content has not changed. Further topics in vector calculus. Vector spaces, matrix analysis. Linear and nonlinear programming with applications to game theory. This course will provide economics students who have taken MATH-UA 131 Mathematics for Economics I (formerly MATH-UA 211) and MATH-UA 132 Mathematics for Economics II (formerly MATH-UA 212) with the tools to take higher-level mathematics courses.",,Lecture,8636,"Garcia, Fortino",Washington Square,SILV 207
Linear Algebra,140,"Systems of linear equations. Gaussian elimination, matrices, determinants, and Cramer?s rule. Vectors, vector spaces, basis and dimension, linear transformations. Eigenvalues, eigenvectors, quadratic forms.",,Lecture,8117,"Majmudar, Trushant",Washington Square,SILV 207
Linear Algebra,140,"Systems of linear equations. Gaussian elimination, matrices, determinants, and Cramer?s rule. Vectors, vector spaces, basis and dimension, linear transformations. Eigenvalues, eigenvectors, quadratic forms.",,Lecture,8122,"Sanfratello, Andrew",Washington Square,ONLI
Linear Algebra,140,"Systems of linear equations. Gaussian elimination, matrices, determinants, and Cramer?s rule. Vectors, vector spaces, basis and dimension, linear transformations. Eigenvalues, eigenvectors, quadratic forms.",,Lecture,9362,"Majmudar, Trushant",Washington Square,MEYR 121
Linear Algebra,140,"Systems of linear equations. Gaussian elimination, matrices, determinants, and Cramer?s rule. Vectors, vector spaces, basis and dimension, linear transformations. Eigenvalues, eigenvectors, quadratic forms.",,Lecture,9421,"Sanfratello, Andrew",Washington Square,5WP 101
Linear Algebra,140,"Systems of linear equations. Gaussian elimination, matrices, determinants, and Cramer?s rule. Vectors, vector spaces, basis and dimension, linear transformations. Eigenvalues, eigenvectors, quadratic forms.",,Lecture,9426,"Douglas, Andrew",Brooklyn Campus,RGSH 215
Honors Linear Algebra,148,"This honors section of Linear Algebra is a proof-based course intended for well-prepared students who have already developed some mathematical maturity and ease with abstraction. Its scope will include the usual Linear Algebra (MATH-UA 140) syllabus; however this class will be faster, more abstract and proof-based, covering additional topics. Topics covered are: Vector spaces, linear dependence, basis and dimension, matrices, determinants, solving linear equations, linear transformations, eigenvalues and eigenvectors, diagonalization, inner products, applications.",,Lecture,9055,"Yang, Deane",Washington Square,CIWW 1302
Theory of Probability,233,"Introduction to the mathematical techniques of random phenomena occurring in the natural, physical, and social sciences. Axioms of mathematical probability, combinatorial analysis, binomial distribution, Poisson and normal approximation, random variables and probability distributions, generating functions, Markov chains, applications.",,Lecture,8123,"Xiao, Zhuocheng",Washington Square,CIWW 101
Theory of Probability,233,"Introduction to the mathematical techniques of random phenomena occurring in the natural, physical, and social sciences. Axioms of mathematical probability, combinatorial analysis, binomial distribution, Poisson and normal approximation, random variables and probability distributions, generating functions, Markov chains, applications.",,Lecture,8879,"Wu, Wei",Washington Square,SILV 208
Theory of Probability,233,"Introduction to the mathematical techniques of random phenomena occurring in the natural, physical, and social sciences. Axioms of mathematical probability, combinatorial analysis, binomial distribution, Poisson and normal approximation, random variables and probability distributions, generating functions, Markov chains, applications.",,Lecture,9310,Staff,Brooklyn Campus,
Theory of Probability,233,"Introduction to the mathematical techniques of random phenomena occurring in the natural, physical, and social sciences. Axioms of mathematical probability, combinatorial analysis, binomial distribution, Poisson and normal approximation, random variables and probability distributions, generating functions, Markov chains, applications.",,Lecture,26018,"Stepp, Elizabeth",Washington Square,ONLI
Mathematical Statistics,234,"Prerequisite: a grade of C or better in Theory of Probability (MATH-UA 233) or equivalent. Not open to students who have taken Probability and Statistics (MATH-UA 235). Introduction to the mathematical foundations and techniques of modern statistical analysis used in the interpretation of data in quantitative sciences. Mathematical theory of sampling; normal populations and distributions; chi-square, t, and F distributions; hypothesis testing; estimation; confidence intervals; sequential analysis; correlation, regression, and analysis of variance. Applications to the sciences.",,Lecture,9206,"Chen, Tyler",Washington Square,CIWW 109
Probability & Statistics,235,"Prerequisite: a grade of C or better in Calculus II (MATH-UA 122) or Math for Economics II (MATH-UA 212) (for economics majors) or equivalent. Not open to students who have taken Theory of Probability (MATH-UA 233) or Mathematical Statistics (MATH-UA 234). Combination of MATH-UA 233 and 234 at a more elementary level to acquaint students with both probability and statistics in a single term. In probability: mathematical treatment of chance; combinatorics; binomial, Poisson, and Gaussian distributions; law of large numbers and the normal distribution; application to coin-tossing; radioactive decay. In statistics: sampling; normal and other useful distributions; testing of hypotheses; confidence intervals; correlation and regression; applications to scientific, industrial, and financial data. ",,Lecture,10034,"Falconet, Hugo",Washington Square,CIWW 109
Probability & Statistics,235,"Prerequisite: a grade of C or better in Calculus II (MATH-UA 122) or Math for Economics II (MATH-UA 212) (for economics majors) or equivalent. Not open to students who have taken Theory of Probability (MATH-UA 233) or Mathematical Statistics (MATH-UA 234). Combination of MATH-UA 233 and 234 at a more elementary level to acquaint students with both probability and statistics in a single term. In probability: mathematical treatment of chance; combinatorics; binomial, Poisson, and Gaussian distributions; law of large numbers and the normal distribution; application to coin-tossing; radioactive decay. In statistics: sampling; normal and other useful distributions; testing of hypotheses; confidence intervals; correlation and regression; applications to scientific, industrial, and financial data. ",,Lecture,24010,"Lei, Qi",Washington Square,CIWW 101
Combinatorics,240,"Techniques for counting and enumeration, including generating functions, the principle of inclusion and exclusion, and Polya counting. Graph theory. Modern algorithms and data structures for graph theoretic problems.",,Lecture,9480,"Chiarelli, John",Brooklyn Campus,RGSH 202
Theory of Numbers,248,Divisibility and prime numbers. Linear and quadratic congruences. The classical number-theoretic functions. Continued fractions. Diophantine equations.,,Lecture,8125,"Young, Robert",Washington Square,CIWW 201
Mathematics of Finance,250,"Introduction to the mathematics of finance. Topics: linear programming with application to pricing. Interest rates and present value. Basic probability, random walks, central limit theorem, Brownian motion, log-normal model of stock prices. Black-Scholes theory of options. Dynamic programming with application to portfolio optimization.",,Lecture,8127,"Cerniglia, Joseph",Washington Square,5WP 101
Mathematics of Finance,250,"Introduction to the mathematics of finance. Topics: linear programming with application to pricing. Interest rates and present value. Basic probability, random walks, central limit theorem, Brownian motion, log-normal model of stock prices. Black-Scholes theory of options. Dynamic programming with application to portfolio optimization.",,Lecture,19805,"Dies, Erik",Washington Square,SILV 414
Intro to Math Modeling,251,"Formulation and analysis of mathematical models. Mathematical tools include dimensional analysis, optimization, simulation, probability, and elementary differential equations. Applications to biology, economics, other areas of science. The necessary mathematical and scientific background is developed as needed. Students participate in formulating models as well as in analyzing them.",,Lecture,8817,"Rangan, Aaditya",Washington Square,CIWW 102
Intro to Math Modeling,251,"Formulation and analysis of mathematical models. Mathematical tools include dimensional analysis, optimization, simulation, probability, and elementary differential equations. Applications to biology, economics, other areas of science. The necessary mathematical and scientific background is developed as needed. Students participate in formulating models as well as in analyzing them.",,Lecture,8987,"Smith, K.",Washington Square,SILV 208
Intro to Math Modeling,251,"Formulation and analysis of mathematical models. Mathematical tools include dimensional analysis, optimization, simulation, probability, and elementary differential equations. Applications to biology, economics, other areas of science. The necessary mathematical and scientific background is developed as needed. Students participate in formulating models as well as in analyzing them.",,Lecture,9305,"Rangan, Aaditya",Brooklyn Campus,JABS 775B
Numerical Analysis,252,"In numerical analysis one explores how mathematical problems can be analyzed and solved with a computer. As such, numerical analysis has very broad applications in mathematics, physics, engineering, finance, and the life sciences. This course introduces the subject for mathematics majors. Theory and practical examples using Matlab are combined in the studying of topics ranging from simple root-finding procedures to differential equations and the finite element method.",,Lecture,9076,"Stadler, Georg",Washington Square,CIWW 201
Numerical Analysis,252,"In numerical analysis one explores how mathematical problems can be analyzed and solved with a computer. As such, numerical analysis has very broad applications in mathematics, physics, engineering, finance, and the life sciences. This course introduces the subject for mathematics majors. Theory and practical examples using Matlab are combined in the studying of topics ranging from simple root-finding procedures to differential equations and the finite element method.",,Lecture,9157,"Hashemi, Aref",Washington Square,CIWW 312
Numerical Analysis,252,"In numerical analysis one explores how mathematical problems can be analyzed and solved with a computer. As such, numerical analysis has very broad applications in mathematics, physics, engineering, finance, and the life sciences. This course introduces the subject for mathematics majors. Theory and practical examples using Matlab are combined in the studying of topics ranging from simple root-finding procedures to differential equations and the finite element method.",,Lecture,24015,"Boffi, Nicholas",Washington Square,CIWW 201
Linear and Nonlinear Optimization,253,"Optimization is a major part of the toolbox of the applied mathematician, and more broadly of researchers in quantitative sciences including economics, data science, machine learning, and quantitative social sciences. This course provides an application-oriented introduction to linear programming and convex optimization, with a balanced combination of theory, algorithms, and numerical implementation. While no prior experience in programming is expected, the required coursework will include numerical implementations, including some programming; students will be introduced to appropriate computational tools, with which they will gain experience as they do the numerical assignments. Theoretical topics will include linear programming, convexity, duality, minimax theorems, and dynamic programming. Algorithmic topics will include the simplex method for linear programming, selected techniques for smooth multidimensional optimization (eg Newton's method and the conjugate gradient method), techniques for solving for L1-type optimizations, and stochastic gradient descent. Applications will be drawn from many areas, but will emphasize economics (eg two-person zero-sum games, matching and assignment problems, optimal resource allocation), data science (eg regression, convex-relaxation-based approaches to sparse inverse problems, tuning of neural networks, prediction with expert advice) and operations research (eg shortest paths in networks and optimization of network flows). ",,Lecture,10038,"Potter, Samuel",Washington Square,CIWW 101
Mathematics and Biology,255,"Intended primarily for premedical students with interest and ability in mathematics. Topics of medical importance using mathematics as a tool, including control of the heart, optimal principles in the lung, cell membranes, electrophysiology, countercurrent exchange in the kidney, acid-base balance, muscle, cardiac catheterization, and computer diagnosis. Material from the physical sciences is introduced as needed and developed within the course.",,Lecture,23136,"Maxian, Ondrej",Washington Square,CIWW 312
Ordinary Diff Equations,262,First- and second-order equations. Series solutions. Laplace transforms. Introduction to partial differential equations and Fourier series.,,Lecture,8130,"Dunlap, Alexander",Washington Square,CIWW 102
Ordinary Diff Equations,262,First- and second-order equations. Series solutions. Laplace transforms. Introduction to partial differential equations and Fourier series.,,Lecture,9308,"Zanna, Laure",Washington Square,SILV 414
Ordinary Diff Equations,262,First- and second-order equations. Series solutions. Laplace transforms. Introduction to partial differential equations and Fourier series.,,Lecture,10347,"Chen, Jiajie",Brooklyn Campus,RGSH 201
Partial Diff Equations,263,"Many laws of physics are formulated as partial differential equations. This course discusses the simplest examples of such laws as embodied in the wave equation, the diffusion equation, and Laplace?s equation. Nonlinear conservation laws and the theory of shock waves. Applications to physics, chemistry, biology, and population dynamics.",,Lecture,8819,"Pigati, Alessandro",Washington Square,CIWW 101
